buy_amount,buy_price,sell_amount,sell_price
0.02026438,7732.6,0.33193847,7869
0.00810297,7732.3,2.025,7869.2
0.00089258,7731.2,11.271,7870.3
2.5,7731.1,0.00128772,7870.5
2.513,7730.9,1.327,7870.6
0.12119314,7730.8,0.15,7870.7
1.26209472,7730.4,0.01,7870.9
0.005,7730.3,0.4,7872
0.00863173,7730.1,0.02861748,7873.2
1.6524,7730,29.1825,7874.3
0.02132189,7729.1,0.0036,7874.8
25.452,7729,5.151,7875
0.5,7728.9,0.0008,7875.6
0.00090319,7728.6,6.766,7876.6
2.28078639,7728,0.05,7878
0.00916048,7727.8,2.94130672,7878.1
0.02185065,7727.3,3.5,7878.3
0.001,7726.8,0.01829913,7878.8
0.0013138,7726.1,1.572,7879
0.03854744,7725.5,0.002997,7880
3.14768924,7725.4,0.0008,7881
3.85303245,7725.2,0.3,7881.5
0.03430891,7725,2.616,7881.8
0.02290816,7723.7,0.225,7882
0.00092441,7723.5,0.011,7883
0.010218,7723.1,9,7883.3
6.77,7723,0.45614671,7883.7
4.2,7722.5,0.00161,7885
0.02,7722.3,0.015,7886.1
0.23107137,7722.2,0.03780481,7886.2
0.03843692,7722,0.03780481,7886.3
0.0004,7721.7,0.0008,7886.4
0.001,7721.5,14.558,7886.9
3.34040402,7721,0.03780481,7887
0.01074675,7720.8,0.03780481,7887.1
0.02396568,7720.2,24.31875,7887.3
3,7720.1,0.00704804,7887.5
1.26,7720,0.875,7888
0.41594672,7719.1,0.005,7889
24.33875,7719,1.09,7890
0.0025,7718.9,0.027644,7891.2
1,7718.7,0.49737292,7892.4
0.01127551,7718.5,0.24868646,7892.5
0.02544007,7718.4,0.24948646,7892.6
0.02861748,7716.9,0.025,7893
0.02502319,7716.6,2.5,7894.1
0.01280427,7716.3,0.00127781,7894.8
29.2131,7716.2,8.765,7895
0.01,7716,2.03,7895.5
0.34345988,7715.9,10.3131,7896
0.0004,7715.7,0.118,7896.5
1.214,7715.6,0.41594672,7897
0.005,7715.5,0.01,7897.4
0.05,7715.2,0.00108989,7898.5
4.001,7715,0.009575,7899
0.02555195,7714.9,0.0008,7899.7
0.01233302,7714,12.40368554,7900
0.00096686,7713.3,0.00299541,7902
0.05197589,7713.1,3.378,7903.2
3.524,7713,0.1,7907
24.34425,7712.1,0.015,7907.4
4.30646577,7712,0.075,7908
0.02786178,7711.7,29.9973,7908.2
0.02,7711.6,0.0008,7908.6
0.02660946,7711.3,0.004745,7909.8
1.247089,7711,0.60918563,7910
0.00097747,7710.8,0.01829913,7911.3
0.8556,7710,0.000758,7912.5
0.02713822,7709.5,5,7913.4
0.01339054,7709.4,0.05,7913.7
10.286,7709.3,0.15287719,7914
0.0004,7709.1,11.289,7914.8
0.03787106,7708.6,2.622,7914.9
0.00189156,7708.4,0.59094705,7916.6
0.00098808,7708.2,0.015,7916.7
1.15,7708,0.00143428,7916.9
0.02766698,7707.8,0.02865305,7917.9
0.01391929,7707,0.025,7918
0.04780573,7706,0.025,7918.6
0.00099869,7705.6,0.07214103,7918.8
0.0025,7705.3,0.1,7919
0.6416,7705,0.001,7919.9
0.03144805,7704.8,0.352877,7920
0.02872449,7704.2,0.54245622,7921.1
0.00048084,7703.8,0.01,7921.8
3.00100931,7703.1,0.025,7922
2.66,7703,2.1,7923
0.01497681,7702.5,0.3,7923.4
0.02925325,7702.4,4.364,7923.8
5.8,7702.2,0.05,7924
2.55,7702,0.153,7925
0.001,7701.9,0.0008,7925.6
0.025,7701.7,0.1,7926.1
0.3,7701.4,0.41594672,7926.6
0.02748145,7701.1,20,7927
0.1,7701,10.45995367,7927.5
0.029782,7700.7,1.01,7927.9
0.00101992,7700.5,0.125,7928
0.01550557,7700.2,1.5,7928.2
11.210789,7700,0.02,7928.9
0.11,7699,3.533,7929
0.03031076,7698.9,0.0008,7929.2
5.23962259,7698.8,1.15,7930
0.15,7698.7,2.97,7930.1
2,7698.3,0.005,7931
0.63103053,7698,1.235743,7931.2
0.01603432,7697.9,0.525,7932
12,7697.7,1.996,7933
0.0134,7697.2,0.2478,7933.1
0.03083952,7697.1,0.0008,7933.6
29.1825,7696.8,5,7933.9
0.1015975,7696,0.0006,7934.5
0.0004,7695.7,0.2206,7935
0.01656308,7695.6,0.477,7935.8
0.01104114,7695.4,14.583,7935.9
0.03136827,7695.3,0.1002,7936
0.101463,7695,0.0025,7936.4
0.07,7694.1,0.0004,7936.7
0.03189703,7693.6,2.265098,7937
3.1272815,7693.5,0.03027658,7937.5
0.01709184,7693.3,0.5,7937.8
0.001,7693.1,0.02,7937.9
0.115,7693,3.38883481,7938.4
0.00105175,7692.9,0.02,7938.6
1.2266315,7692,0.11764706,7938.8
0.03242579,7691.8,0.1,7939
0.0025,7691.6,0.3,7939.2
3.5,7691.3,0.0004,7939.7
1.1,7691.2,0.52023333,7940
0.01762059,7691.1,0.0025,7940.1
0.11399984,7691,0.002,7940.2
11.271,7690.7,0.1,7940.5
0.00106236,7690.3,0.0004,7941.6
5.23295455,7690,0.0025,7941.7
0.41594672,7689.4,0.0004,7942.6
0.02906772,7689.1,0.008,7942.9
0.049,7689,0.01869913,7943.7
0.01814935,7688.7,1.002,7944
0.02651772,7688.3,24.99775,7944.9
0.00136577,7688,0.05328,7945
0.00107297,7687.8,0.0175,7945.3
0.01,7687.5,0.0097535,7945.9
1.217,7687.3,0.04,7946
0.01867811,7686.4,0.0504,7946.5
0.02868174,7686.2,1.01573343,7947
0.01,7686,5.637,7947.1
0.01,7685.8,0.015,7947.2
0.02861748,7685.7,0.0637948,7947.4
0.00108359,7685.2,0.0004,7947.6
1.4059,7685,0.03116512,7947.7
0.00192411,7684.3,0.01398833,7947.8
0.01920686,7684.1,0.01,7947.9
0.8,7684,0.1,7948
0.0004,7683.5,0.015,7948.2
0.5,7683.3,0.00056535,7948.5
0.2,7683.1,0.01333333,7948.6
7.777,7683,0.06,7948.8
0.0010942,7682.7,0.0425,7949
0.0008,7682.6,0.01333333,7949.4
1,7682.1,11.71808193,7950
4.04,7682,0.01333333,7950.2
0.01973562,7681.8,0.04,7950.7
0.21419027,7681.7,0.04201769,7951
0.0041,7681.6,0.001,7951.5
1.6,7681,0.08746363,7951.8
0.0218962,7680.8,0.01377315,7952.2
1.00110481,7680.1,0.5,7952.5
38.17737511,7680,0.01373333,7952.6
1.572,7679.7,0.00131201,7952.9
0.02026438,7679.6,0.01414895,7953.3
0.17,7679,0.0004,7954
0.1,7678.1,0.01333333,7954.1
2.6195,7677.9,0.01333333,7954.9
0.00111542,7677.6,0.3649,7955
0.02079314,7677.3,0.0004,7955.2
0.07116883,7677.1,0.01333333,7955.7
23.639186,7677,0.41594672,7956.3
0.05,7676.7,0.01373333,7956.5
0.01,7676.5,1.002,7957
0.015,7675.9,0.008,7957.1
0.0978,7675.8,0.01333333,7957.3
0.03908554,7675.4,0.08007492,7957.4
0.03908654,7675.3,0.0004,7957.7
1.02244792,7675,0.03205366,7957.8
0.00933081,7674.8,0.34,7958
14.558,7674.2,0.01333333,7958.1
2,7673.1,0.0319208,7958.6
0.02185065,7672.7,0.0004,7958.8
0.00113664,7672.5,0.01333333,7958.9
0.35527723,7672.2,10.45,7959
0.03,7672,0.01333333,7959.7
1,7671,0.16075,7960
0.21406769,7670.3,0.0004,7960.3
0.47342824,7670.2,0.01333333,7960.5
0.1,7670,0.14,7961
0.00114726,7669.9,0.01333333,7961.3
0.01005051,7669.5,0.3,7961.6
0.02290816,7668.1,0.0004,7961.7
0.1,7667.5,0.031,7962
0.00115787,7667.4,0.01333333,7962.1
8.74,7666.6,0.002,7962.3
0.25,7666,0.01373333,7962.9
0.02343692,7665.8,0.1,7963
0.03224026,7665.2,0.01333333,7963.7
1,7665,24.44075,7964.1
0.00116848,7664.8,0.01493099,7964.4
0.0107702,7664.3,0.018,7964.6
0.0025,7664.2,0.00138106,7964.9
12,7664.1,3.45374458,7965
0.02396568,7663.5,0.0004,7965.1
2.03,7663.2,0.01333333,7965.2
0.7,7662.5,0.1,7965.4
0.00117909,7662.3,0.0004,7965.5
2.1363,7662,0.01333333,7966
0.02449443,7661.2,0.01,7966.2
0.378752,7661,0.01333333,7966.8
0.00162212,7660.7,0.01333333,7967.6
3.38,7660.6,25,7967.7
0.00195666,7660.1,5.4323422,7968
1.961492,7660,0.02899367,7968.4
0.09,7659.9,0.3,7968.8
0.41594672,7659.8,0.133975,7969
0.0011897,7659.7,0.499199,7969.1
0.0114899,7659.1,0.01333333,7969.2
0.02502319,7658.9,3.36333333,7970
0.001,7658.8,0.0154,7970.6
0.25055,7658.6,0.008,7971.4
29.9973,7657.9,0.0004,7971.7
0.00120031,7657.2,1.6,7971.9
0.01,7657,1.025,7972
24.44075,7656.9,7.281,7972.3
0.02555195,7656.6,0.00711,7973
0.1,7655.5,0.0004,7973.2
0.2,7655,1.7,7973.3
0.00121092,7654.6,25,7973.7
0.05469819,7654.4,0.002,7973.8
0.42564074,7654.2,0.157,7975
0.0122096,7653.9,0.0004,7975.8
0.03382653,7653.2,0.00137916,7975.9
0.05,7653,0.01829913,7976.1
0.027831,7652.1,0.0004,7976.8
0.06,7652,0.01,7977
2.503013,7651,0.015,7977.8
0.0025,7650.5,0.00135,7978
2.993752,7650,0.03383074,7978.1
0.02713822,7649.7,2.5,7978.2
0.00123215,7649.5,0.0004,7978.3
0.42,7648.9,0.0004,7978.8
0.01292929,7648.6,0.12492,7979
0.4,7647.8,0.2,7979.3
0.04,7647.6,1.76813333,7980
0.02766698,7647.4,0.0004,7980.9
11.289,7647.2,0.0004,7981.6
0.12624276,7647,8.3,7982
0.01,7646.5,0.01103081,7982.4
0.005,7646,0.05752,7983
1,7645.9,0.0004,7983.5
0.04315863,7645.7,0.00097528,7984
0.02819573,7645.1,0.001,7984.9
0.0339,7645,0.02,7985
0.00125337,7644.4,0.008,7985.7
2.632,7644.2,0.0004,7986.1
0.05714905,7643.6,0.0004,7986.3
0.01364899,7643.4,0.015,7986.4
0.0139,7643.3,0.10106,7987
0.02872449,7642.9,0.037,7988
2.5827419,7642,0.03511928,7988.3
0.00126398,7641.9,0.0004,7988.6
0.0354128,7641.2,0.114714,7989
0.15,7641,0.03493443,7989.1
0.02925325,7640.6,0.025,7989.3
0.0814,7640,0.01752589,7989.5
4.365,7639.8,1.4864468,7990
0.00127459,7639.3,0.2004,7990.1
1.6,7639.2,0.002,7990.6
0.10727724,7639.1,0.25,7990.7
1.001,7639,0.03318,7991
0.029782,7638.3,0.0004,7991.2
0.01436869,7638.2,0.0004,7991.8
0.00244,7638,0.004,7992
0.02,7637,0.0004,7993.3
0.00378521,7636.8,0.01,7993.7
0.03229997,7636,0.0004,7993.8
0.034,7635.2,0.025,7994
0.04550398,7635,0.00042066,7994.1
0.03363231,7634.3,5.652,7994.5
0.00129582,7634.2,0.1,7994.6
12,7634,0.65,7995
0.03083952,7633.7,0.0004,7995.1
0.01508838,7633,0.1019,7996.2
0.00130643,7631.7,0.0004,7996.4
0.03136827,7631.3,0.0004,7996.5
0.49965847,7631,0.02865306,7996.7
0.5,7630.3,0.01,7997
0.41594672,7630.1,29.3289,7997.2
1.09939,7630,25,7997.3
0.07021314,7629.1,0.005,7997.8
0.005,7628,0.38559859,7998
0.01580808,7627.7,0.03560782,7998.4
0.03242579,7626.8,0.0004,7998.9
0.00132765,7626.6,5.1516,7999
1.8,7626.1,0.0004,7999.1
1,7625.9,41.24470031,8000
14.583,7625.8,24.67525,8000.7
0.2246,7625,0.025454,8001
2.22495455,7624.5,0.00041507,8001.5
0.1,7624.2,0.1,8001.6
0.00133826,7624,0.0004,8001.8
0.01561748,7623.2,0.0004,8003
0.1345,7623,0.125,8003.1
0.01652778,7622.5,0.0025,8003.7
0.020242,7622,0.00043673,8004.1
0.00134887,7621.5,0.025,8005
0.134,7621,0.199,8005.1
3.387,7620.2,0.48,8005.4
5.18,7620,0.02,8006
5.637,7619.5,0.0004,8006.4
0.02,7619,0.00045839,8006.7
29.33025949,7618.9,0.0196,8007
0.001,7618.5,0.002,8007.4
0.075,7618,0.0032,8008
0.002,7617.9,0.0154,8008.3
