SSG 08 | 无尽深海 (略有磨损),4.02,1853
AUG | 力矩 (久经沙场),5.94,62
格洛克 18 型 | Sacrifice (略有磨损),7.78,158
格洛克 18 型 | Sacrifice (略有磨损),7.78,158
印花 | Rush 4x20 (Holo),15.3,870
AUG（纪念品） | 殖民侵略者 (略有磨损),5.14,174
P90 | 喵之萌杀 (略有磨损),214,142
法玛斯 | 元素轮廓 (久经沙场),6.3,227
SG 553（StatTrak™） | 轻空 (略有磨损),17.9,99
P90（StatTrak™） | 浅坟 (久经沙场),20.35,89
加利尔 AR（StatTrak™） | 深红海啸 (崭新出厂),15.9,65
MAG-7 | 天空守卫 (崭新出厂),1.93,156
熊刀（★） | 枯焦之色 (久经沙场),418,72
AWP | 猫猫狗狗 (略有磨损),11.8,1249
音乐盒 | The Verkkars - EZ4ENCE,23.08,921
礼品包,10.37,4
熊刀（★） | 人工染色 (久经沙场),539.49,40
AUG | 湖怪鸟 (破损不堪),10.9,23
AWP | 黑色魅影 (略有磨损),201.5,1177
印花 | Lucky（闪亮）| 2019年柏林锦标赛,1.85,438
格洛克 18 型 | 噩梦之夜 (略有磨损),2.94,130
USP 消音版 | 脑洞大开 (略有磨损),38.4,1165
熊刀（★） | 屠夫 (略有磨损),1475,104
MP7 | 血腥运动 (略有磨损),20.8,515
格洛克 18 型 | 异星世界 (崭新出厂),3.05,180
AK-47 | 血腥运动 (久经沙场),188.99,1081
M4A4 | 杀意大名 (崭新出厂),30.7,1133
AK-47（纪念品） | 黑色层压板 (久经沙场),94.79,471
印花 | 双架 (全息),10.4,534
音乐盒 | 多名作曲家 — 迈阿密热线,14.4,221
印花 | Team EnVyUs | 2016年科隆锦标赛,14.71,22
CZ75 自动手枪 | 先驱 (略有磨损),3.27,158
沙漠之鹰 | 红色代号 (久经沙场),79.8,589
沙漠之鹰 | 炽烈之炎 (崭新出厂),839,892
MAC-10 | 霓虹骑士 (久经沙场),40.45,37
沙漠之鹰 | 轻轨 (略有磨损),9.87,628
AK-47 | 混沌点阵 (崭新出厂),181,319
P90 | 异星世界 (崭新出厂),2.62,164
AWP | 死神 (略有磨损),18.5,921
M249 | 星云十字军 (略有磨损),8.22,131
SG 553 | 轻空 (崭新出厂),6.49,193
MP7 | 深蓝电镀处理 (崭新出厂),2.42,142
M4A4 | 皇帝 (略有磨损),306.5,891
SG 553 | 轻空 (崭新出厂),6.49,193
MP7 | 深蓝电镀处理 (崭新出厂),2.42,142
M4A4 | 皇帝 (略有磨损),306.5,891
MP5-SD | 磷光体 (略有磨损),25.8,208
沙漠之鹰 | 机械工业 (略有磨损),27.9,1352
AWP | 猫猫狗狗 (破损不堪),10,35
格洛克 18 型（纪念品） | 远光灯 (崭新出厂),12.8,2456
法玛斯 | 防滚架 (久经沙场),21.3,369
格洛克 18 型（StatTrak™） | 战鹰 (破损不堪),2.59,64
格洛克 18 型 | Sacrifice (崭新出厂),20.5,93
AK-47 | 霓虹骑士 (略有磨损),205.5,673
P250 | 死亡轮回 (崭新出厂),23.9,164
“英勇大行动”武器箱,81.7,106
格洛克 18 型 | 远光灯 (崭新出厂),1.69,2787
AWP | 死神 (崭新出厂),31.08,628
P250 | 卡特尔 (崭新出厂),41.7,32
MAG-7 | SWAG-7 (久经沙场),1.74,233
蝴蝶刀（★） | 大马士革钢 (久经沙场),1349.5,129
CZ75 自动手枪 | 深红之网 (久经沙场),1.59,94
AK-47 | 火神 (崭新出厂),689.5,735
