蓝海华腾,300484,-,228094614.4,-14.1898,18.1949,-80242595.81,-673.9045,-201502.3165,-8.84,2.98105071,-0.240838,34.5291,输配电气,2019-09-30T00:00:00
九华旅游,603199,0.43,417244452.53,14.9605,-18.8632,107216804.23,33.5998,-36.3828,9.34,10.74677743,1.379469,51.6266,旅游酒店,2019-09-30T00:00:00
欧菲光,002456,-,37894400618.36,21.6653,10.621,180549723.61,-86.8825,-42.5193,2.09,3.22169128,1.158793,9.8097,电子元件,2019-09-30T00:00:00
维尔利,300190,0.0632,1751800251.12,33.4174,-2.9993,227696001.7,43.9068,-15.2625,6.1,4.85580529,-0.216887,31.5657,环保工程,2019-09-30T00:00:00
格力地产,600185,-,3431706291.31,88.6862,-19.2467,501838282.47,28.6462,-47.5062,5.74,3.81113838,0.478078,28.4725,房地产,2019-09-30T00:00:00
拓维信息,002261,0.0362,865900812.68,7.5515,8.4628,62920902.28,25.5029,93.5952,2.5,2.31821225,-0.073108,50.3653,软件服务,2019-09-30T00:00:00
牧原股份,002714,-,11733288713.79,27.7937,11.228,1386912668.52,296.0449,300.434,10.29,7.44237676,2.185964,18.7441,农牧饲渔,2019-09-30T00:00:00
全通教育,300359,0.147,446778178.24,-3.4954,69.9605,-17393791.72,-392.2777,128.0789,-1.3,2.10667813,-0.071463,31.446,文教休闲,2019-09-30T00:00:00
齐翔腾达,002408,-,24045651351.19,53.9932,-19.8313,523628002.88,-24.8993,3.4241,7,4.27939477,0.334888,5.6483,化工行业,2019-09-30T00:00:00
许继电气,000400,0.0782,5238216529.36,25.9324,8.0026,266429641.75,71.4451,-37.3714,3.23,7.9036053,0.025657,18.7643,输配电气,2019-09-30T00:00:00
安纳达,002136,-,789065090.07,-7.9402,22.3399,39465063.73,-40.8729,-22.5234,5.64,3.3040665,0.343613,13.9648,化工行业,2019-09-30T00:00:00
奥士康,002913,24.24,1637878957.65,-0.7271,6.6942,206212264.37,11.4098,113.1416,8.99,15.87025561,2.700347,27.4918,电子元件,2019-09-30T00:00:00
