质量专员,广州加得食品有限公司,本科,4K-6K,"['五险一金', '年底双薪', '绩效奖金', '餐补', '带薪年假']",1-3年
数据质量专员/数据管理员,广州市龙星行汽车销售服务有限公司,大专,3K-4.5K,"['包吃', '员工旅游', '免费班车', '定期体检', '年底双薪']",1年以下
质量监督员,广州迪澳生物科技有限公司,大专,4K-6K,"['节日福利', '五险一金', '绩效奖金', '交通补助', '餐补']",不限
质量管理员,广州朗圣药业有限公司,大专,4.5K-7K,"['周末双休', '五险一金', '餐补', '节日福利', '带薪年假']",1-3年
医疗器械质量经理,广州朗圣药业有限公司,本科,8K-10K,"['五险一金', '绩效奖金', '免费班车', '周末双休', '公司重点项目']",3-5年
质量工程师/质控/QA,广东泰宝医疗科技股份有限公司广州分公司,本科,5K-7K,"['周末双休', '五险一金', '带薪年假', '免费班车', '节日福利']",3-5年
高级质量管理专员 (MJ000622),广州希音供应链管理有限公司,大专,8K-12K,"['五险一金', '餐补', '定期体检', '节日福利', '每年多次调薪']",5-10年
质量体系工程师,广州智择电子科技有限公司,大专,6K-10K,"['五险一金', '加班补助', '餐补', '房补', '带薪年假']",3-5年
标准化工程师,广东省质量发展促进会,硕士,6K-8K,"['五险一金', '绩效奖金', '带薪年假', '节日福利', '交通补助']",1-3年
会员服务专员,广东省质量发展促进会,本科,6K-8K,"['节日福利', '带薪年假', '交通补助', '绩效奖金', '五险一金']",1-3年
客服打包,广州市悟生文具有限公司,学历不限,3.5K-7K,"['大牛带队', '节日福利', '员工旅游', '带薪年假', '不加班']",1年以下
3D建模讲师＋五险一金＋提供住宿P,广州潭州教育网络科技有限公司,大专,4K-6K,"['五险一金', '绩效奖金', '带薪年假', '节日福利', '住房补贴']",不限
客户关系专员/主管,融创(深圳)房地产有限公司,本科,10K-15K,"['五险一金', '商业险', '年度体检', '年终奖', '周末双休']",3-5年
会员服务部部长,广东省质量发展促进会,本科,5K-10K,"['周末双休', '五险一金', '年底双薪', '绩效奖金', '通讯补助']",3-5年
项目经理,广州美品苏打网络科技有限公司,本科,15K-25K,"['免费班车', '员工旅游', '健身俱乐部', '公司重点项目', '定期团建']",3-5年
现场施工员,广州中殿装饰设计工程有限公司,学历不限,8K-10K,"['每年多次调薪', '五险一金', '包吃', '包住', '带薪年假']",1-3年
