电子工程师/技术员,广州市森跃电子有限公司,学历不限,4K-8K,"['五险一金', '年底双薪', '绩效奖金', '年终分红', '包吃']",不限
诚聘旅游顾问---【南湖国旅】,广州南湖粤途国际旅行社有限公司,学历不限,8K-10K,"['带团队', '员工旅游', '弹性工作']",不限
采样工程师,广东万德检测技术股份有限公司,大专,4K-8K,"['五险一金', '包住', '餐补', '带薪年假', '通讯补助']",不限
销售代表（底薪4000+高提成+周末双休）,广东鼎信卓越企业管理有限公司,大专,8K-10K,"['五险一金', '周末双休', '全勤奖', '绩效奖金', '不加班']",1-3年
外派财务总监（广州增城）,银龙水务投资有限公司,大专,10K-15K,"['五险一金', '年终分红', '包住', '包吃', '弹性工作']",5-10年
高级猎头顾问,广州市科飞特营养健康咨询有限公司,本科,16K-25K,"['五险一金', '绩效奖金', '年终分红', '加班补助', '全勤奖']",3-5年
网络推广,广州银佰翔投资咨询有限公司,本科,15K-20K,"['五险一金', '全勤奖', '包吃', '绩效奖金']",1-3年
销售/业务员（大专应届生优先）,广州森农食品有限公司,大专,8K-10K,"['五险一金', '包吃', '包住', '全勤奖', '餐补']",无经验
国内市场销售代表,广东利宸进出口有限公司,大专,15K-20K,"['五险一金', '绩效奖金', '周末双休', '节日福利', '带薪年假']",不限
环境监测采样人员,广东粤风环保有限公司,大专,4K-7K,"['周末双休', '包吃', '带薪年假', '员工旅游', '补充医疗保险']",不限
储备干部/储备经理+住宿+带薪培训+内部晋升,广州星火世纪网络科技有限公司,学历不限,8K-10K,"['年底双薪', '绩效奖金', '包住', '带薪年假', '弹性工作']",不限
文案策划,广州天橙广告有限公司,学历不限,4K-6K,"['社保', '包吃', '全勤奖', '年底双薪', '节日福利']",1-3年
信息流优化师,广州九淘信息科技有限公司,大专,6K-8K,"['绩效奖金', '全勤奖', '弹性工作', '节日福利', '员工旅游']",1-3年
客服 （有提成、分红）,广东亿卡付信息技术有限公司,学历不限,4K-6K,"['社保', '绩效奖金', '全勤奖', '员工旅游', '创业公司']",无经验
安全员（驻项目）,广东永和建设集团有限公司,中专,6K-8K,"['五险一金', '绩效奖金', '加班补助', '全勤奖', '带薪年假']",3-5年
亚马逊产品开发专员（地铁上盖）,广州莲荃电子产品有限公司,大专,6K-10K,"['周末双休', '五险一金', '绩效奖金']",1-3年
电话客服,广州银点通网络科技有限公司,学历不限,6K-8K,"['节日福利', '定期团建', '五险一金', '绩效奖金', '周末双休']",不限
人事专员包吃住,广州嘉茂信汽车用品有限公司,大专,3K-3.5K,"['包吃', '包住', '不加班', '全勤奖']",1-3年
导购,广东亚材门窗幕墙有限公司,中专,3.5K-7K,"['弹性工作', '带薪年假', '五险一金', '定期团建', '每年多次调薪']",不限
网络营销/提供住宿/3.5K＋五险一金,广州潭州教育网络科技有限公司,中专,4K-6K,"['五险一金', '绩效奖金', '带薪年假', '节日福利', '住房补贴']",不限
电话销售,金账本会计服务(广东)有限公司,学历不限,5K-10K,"['五险一金', '每年多次调薪', '公司重点项目', '定期团建', '绩效奖金']",不限
大学城高薪诚聘快递员+免费配车,德邦物流股份有限公司,高中,5K-8K,"['高温补贴', '绩效奖金', '弹性工作', '交通补助', '带薪年假']",不限
越秀区高薪诚聘快递员+免费配车,德邦物流股份有限公司,学历不限,5K-8K,"['高温补贴', '绩效奖金', '弹性工作', '交通补助', '带薪年假']",不限
西塱鹤洞大桥高薪诚聘快递员+免费配车,德邦物流股份有限公司,学历不限,5K-8K,"['高温补贴', '绩效奖金', '弹性工作', '交通补助', '带薪年假']",不限
 包住销售助理/市场营销/推广专员/业务员,广州智联房地产有限公司,高中,6K-10K,"['五险一金', '绩效奖金', '交通补助', '带薪年假', '员工旅游']",不限
环境评价技术员,广东恩维乐环境科技有限公司,大专,3.5K-5K,"['五险一金', '餐补', '加班补助', '绩效奖金', '创业公司']",不限
销售咨询（均薪8000+准上市公司）超好工作气氛,升学教育,大专,8K-15K,"['五险一金', '绩效奖金', '带薪年假', '弹性工作', '员工旅游']",不限
招生老师（底薪+高提成+带薪年假）,广州艾雯思教育信息咨询有限公司,学历不限,4K-6K,"['节日福利', '五险一金', '绩效奖金', '年终分红', '全勤奖']",不限
