现在的钢材价格已超过07年，现在钢厂利润已超07年，钢,452,0,06-12 21:46
5178点3年，江恩理论当时预测出来了,481,0,06-12 20:55
6.12 上证50操作策略,868,0,06-12 19:05
到站下车[不赞],157,0,06-12 15:50
呵呵呵，神一样的市场。,272,0,06-12 14:49
2点半前涨幅不超过2%，都是刷流氓的上涨，一过两点半,197,0,06-12 14:26
没有成交量，我看你能涨到哪里去，小心2.30过后跳水,288,0,06-12 14:03
恒生电子一一一区块链应用终于率先在金融领域实实在在,547,0,06-12 14:01
今后只看好上证50[牛],307,0,06-12 13:58
资金又少量流进上证50，真是没辙啊！未来在50吗？真是,275,0,06-12 13:55
今天A50拉得高高的，明天就是砸盘的主力,825,1,06-12 13:46
先走一步。[大笑],401,0,06-12 13:22
兴衰有你,382,0,06-12 13:14
量能好低,465,0,06-12 12:15
股市未来全部都在50。,716,1,06-12 11:56
这指数拉的打算找谁接盘,290,0,06-12 11:30
上证50一涨就完了，罪大恶极！！,719,1,06-12 11:27
假动作[亏大了]忽悠 接着忽悠,180,0,06-12 10:43
没得救了 大家都明白 只要强拉硬拽几瓶酒 特别是已经,242,0,06-12 10:22
开拉了。看样子还是要管一管的。效果如何，有待商榷,116,0,06-12 10:19
不要下来,121,0,06-12 10:17
关键时刻，全看你的了，赶快出手拉起来。。。,99,0,06-12 10:13
今天强拉不？,120,0,06-12 10:07
估计下午就要开砸了,127,0,06-12 10:02
天地源：业绩增898%，股价跑输826点或33%！,4979,18,06-12 09:57
有些专家在宣传自己投资逻辑时，从来不敢说的秘密！,250,0,06-12 09:10
包括独角兽基金！！我不知道他们发行哪类基金？对基金,278,0,06-12 08:53
记得股灾时都会提振信心都有强力反弹！现在普遍个股股,720,0,06-12 03:57
这个大盘走势主要是50主导的,180,0,06-11 23:41
中股引领美股盘中在下跌呢，非把美股带沟里去不可，你,403,1,06-11 22:15
上证50不断的翘尾盘又是一大利空，因为每次翘尾盘都是,350,0,06-11 20:37
求大神计算一下，除50股外，其它股都跌至二元以下，大,722,1,06-11 19:41
大盘底部还要反复敲打！,656,0,06-11 16:25
有意思吗？自己觉得好看而已！傻不傻，不怕被人嘲笑吗,378,0,06-11 15:47
又是拉指数的一天！？！？！？！？,233,0,06-11 15:14
无语无语无语无语无语无语无语无语无语无语无语无语无,249,0,06-11 15:02
一白遮百丑！,236,0,06-11 15:01
不要逼脸的红了，呵呵呵,176,0,06-11 14:56
亚太股市普涨，啥也别说了，大黑熊请继续吧！,188,0,06-11 14:54
宫廷指数就是好，赞歌高唱~    牛牛娃,259,0,06-11 14:31
快抢，国家队马上出发[鼓掌],737,2,06-11 14:27
拉中石油了,243,0,06-11 14:26
尾盘翻绿[不说了],458,1,06-11 14:19
