两桶油真好,1734,0,12-19 14:18
中石油马上创新低了。,1781,0,12-19 14:18
可笑可笑的指数，,1771,0,12-19 14:17
233333,1764,0,12-19 14:17
都万众一心做做空，你就放手吧？,1754,0,12-19 14:11
没得救啦？,1709,0,12-19 14:08
什么狗比玩意,1738,0,12-19 14:01
看来说好的价值投资原来是这样子滴,1719,0,12-19 13:56
多砸点，50太贵,1978,0,12-19 13:53
大烂臭最该关门,1681,0,12-19 13:44
真恶心,1724,0,12-19 13:43
关了算了真恶心了,2550,1,12-19 13:38
到箱底了，老鼠仓门赶劲抄底吧，有维稳的您家亲戚在，,1733,0,12-19 13:29
你这样明显的毫无水平的在箱底护着，一道箱底大量的你,1741,0,12-19 13:11
山东住建厅：正在了解菏泽“取消限售”情况 媒体过度,1767,0,12-19 12:18
无量护盘，呵呵，我30万直接砸掉平安，等你感觉放量护,1714,0,12-19 11:36
大胆买入,1756,0,12-19 11:29
官方发布房产税新消息，刚需和自住连声叫好！ 百纳行 ,2766,1,12-19 11:11
我大中华唯有房地产不能跌，其它如股市，p2p，实业都,2625,1,12-19 11:01
令人生厌恶心,1891,0,12-19 10:46
破位才是抄底机会？,1670,0,12-19 10:12
上证5o就是搅屎棍,2544,2,12-19 09:59
近日，有关房地产税的话题再次受到关注。 国家税总局,1699,0,12-19 09:51
请求网站惩处恶意攻击他人的害虫!!!!!!,4099,31,12-18 22:34
大盘己经走到接近中期突破的节点，这个时间跨度就在年,1997,0,12-18 20:40
昨晚7点16分钟说今天下跌止2550点50指数2388点.不过我,1874,0,12-18 20:14
季线在红柱上方死叉概率较大，如果形成死叉那调整时间,1715,0,12-18 19:13
西南证券员工因内幕交易被判三年并处罚金30万 利空 12,1832,0,12-18 16:10
爹你妹,1761,0,12-18 16:05
未来的新股不断发行，要遵循业绩为王，价值投资，好的,1802,0,12-18 15:45
外围市场跌，所以A股大跌，外围今年的牛市，我们在大,2429,1,12-18 15:37
百年老店人设崩塌！同仁堂过期蜂蜜回炉重造 市值蒸发,1772,0,12-18 15:24
同仁堂深陷“蜂蜜过期门” 市值一度蒸发逾23亿元 利空,1733,0,12-18 15:18
石油-世界经济最大老赖正在宣告破产 欠下世界和中国巨,1817,0,12-18 15:09
明天上午冲2412后继续跌，跌2个点以上,1678,0,12-18 14:55
拉你的几个亲儿子，四大行和平安呀，拉酒不管用的，创,1704,0,12-18 14:51
久盘必跌，久盘必跌,1664,0,12-18 14:51
特殊时期，能拉一下你的亲儿子银行保险吗，不就起来了,2491,1,12-18 14:51
这么重要的节日，上证50带头砸，关键时候，浓眉大眼的,1706,0,12-18 14:49
友情提示，散户空仓离场注意大幅跳空下杀,2481,1,12-18 14:47
有人总结自己的一生归宿；套一生股市，还一生放贷，惨,2459,2,12-18 14:46
关门打狗的局面已经形成了,1686,0,12-18 14:37
今天才跌1.4个点就往上拉，这还是开会行情，明天散会,1684,0,12-18 14:26
难道所谓的变盘就是向下？,1649,0,12-18 14:24
它妈的，一个德新占了光荣,1677,0,12-18 14:18
来个50牛，带领大盘突破万点。,1703,0,12-18 14:16
空仓,1677,0,12-18 14:08
演员[鼓掌][鼓掌][鼓掌],2466,1,12-18 14:03
设这个指数的意义是什么？,1689,0,12-18 13:35
放心杀吧！都在等死,1651,0,12-18 13:14
50还属于的中继,1664,0,12-18 12:43
目标2350,1703,0,12-18 11:55
哈哈终于玩完,2519,1,12-18 11:40
哎.,1609,0,12-18 11:37
齐总动员了，都一条心，杀跌,1635,0,12-18 11:31
已经亏死了，是不是还要命,1605,0,12-18 11:25
这么没出息啊？,1637,0,12-18 11:24
50破位，恭喜！！！,1670,0,12-18 11:17
看样子又要加速。。,1637,0,12-18 11:13
倾家荡产了,1603,0,12-18 11:04
50又开始护盘了,2370,2,12-18 11:02
为什么喋喋不休，欧美跌如果跌到一千点，你也跟着跌到,1630,0,12-18 11:02
今天50低开高走，至少涨两个点，美股暴跌资金全部跑到,2399,2,12-18 11:01
2400破了就止损,1638,0,12-18 10:56
小心秋后算账，给小鞋,1612,0,12-18 10:23
兄弟，你不讲政治吗,1642,0,12-18 10:21
期指上涨，现货下跌，新加坡A50废了？,1587,0,12-18 10:13
10;00准时开砸，巧合吗,2449,1,12-18 10:10
今天如不能大涨两个点，明天必大跌,2365,1,12-18 10:08
国家队又在干扰市场,1543,0,12-18 09:52
今天咱们必须牛一回！,1523,0,12-18 09:40
没有什么，吹牛皮，造假，总会又一样和别人不一样？,1561,0,12-18 09:30
50不死，没牛市,1547,0,12-18 09:11
50勾要跌几个点,1517,0,12-18 09:09
今天股市要起来，你看会起来吗？,1591,0,12-18 08:47
日播时尚主力连续六个交易日净流入1．8亿，而流通市值,2477,1,12-18 08:35
今天低开一个点,1571,0,12-18 08:13
明天暴跌奶奶的,1565,0,12-17 23:41
明天怎么走？,2466,1,12-17 22:15
现在遍地10多倍或低于10倍市盈率的股票了，居然还在发,1661,0,12-15 07:30
扬优惩劣动真格，股市是？,1554,0,12-17 22:04
老字号同仁堂陷“蜂蜜”风波 一家蜂蜜概念股无辜躺枪,2691,1,12-17 21:49
我是一个散户，评论一下为什么是地量交易。你看看拉抬,1734,0,12-17 21:41
股友trOaI2人请自尊,5730,46,12-17 21:21
股指如何编制知道吗?,3049,11,12-17 21:17
上证综指与上证50历史低点对比,4437,5,12-17 20:34
今天大盘在2573点上证50在2408点止跌刚好在撑压线.但,1745,0,12-17 19:27
最近十年香港楼市经历了轰轰烈烈的大牛市，但现在香港,2313,0,12-17 18:27
过期蜜蜂能吃？北京同仁堂被曝光回收过期蜂蜜，百年老,1659,0,12-17 18:26
上证50的这些均线就跟麻花一样全部搅在一起，不是中期,1833,0,12-17 16:55
长生疫苗造假风波尚未消退，最近一则关于“同仁堂涉嫌,1684,0,12-17 15:47
上证50等着被腰斩,1603,0,12-17 14:58
像小丑一样，我都笑了,1630,0,12-17 14:54
说假话造假专家是上市公司和什么的专利！,1607,0,12-17 13:52
今天是金针探底，不是下跌中继，已确认，over,1718,0,12-17 13:42
大A还有价值投资和估值体系功能吗？,1603,0,12-17 13:08
僵尸50,1625,0,12-17 12:16
10块以上的股都不能买,1612,0,12-17 11:16
今天是大盘股坐镇，小盘股洗盘，后面几天就会千股涨停,1639,0,12-17 11:02
硬拉，太牛逼了吧。,1525,0,12-17 11:01
看到没，已经反弹了，一峰比一峰高，下午至少涨两个点,1527,0,12-17 10:59
2400点支撑很强，春节前目标至少2700点,1520,0,12-17 10:55
深V反弹了，下午大涨2%，买入坐等抬轿,2734,1,12-17 10:44
拉大盘个股又跌成屎了，越来越稳了，无救无解！,2354,1,12-17 10:05
老说“大规模”减税降赋！那就对高端先进制造业减税吧,2247,1,12-17 10:01
阿弥陀佛上帝保佑我大A股能好起来吧！,1503,0,12-17 09:45
有分红能力的破净公司把分红改为回购更有利于广大股民,2586,7,12-17 09:35
"""上证50罪恶满盈""何用意?",2750,3,12-16 07:31
手机买华为，股票买中建！,3203,0,12-15 23:14
"买医药股就是价值投资乃天大笑话,医药股高市赢估值根",1548,0,12-15 16:19
质押股爆仓刚缓解又开始下跌，如果再次引起质押股大面,1548,0,12-15 12:10
跌成熊冠全球资金枯竭信心已经恐慌成这样了，居然IPO,2511,2,12-14 23:10
停发？,1641,0,12-14 21:10
2019年还能急着买房吗？ 以下三个信号，或许能给你答,2872,2,12-14 21:09
大家如何看待中国平安的千亿回购计划，会对市场产生的,2664,2,12-14 21:07
很明显5日线支撑很强，大家不要随便割肉，下心下周上,2579,1,12-14 20:13
下午又强势洗盘，洗掉不坚定的人，明天高开涨2个点以,2712,2,12-14 18:55
股指常态化，就是告诉大家风险很大，机构需要做空保护,2483,1,12-14 18:45
还是看399102和上证指数。,1618,0,12-14 17:55
晚上还有鼻子IPO吗？,1640,0,12-14 15:15
这里才是半山腰，标准的半山腰。,2589,1,12-14 14:55
50出清才可能有点箱型行情。,1675,0,12-14 14:50
这还是能力问题吗？,2581,2,12-14 14:42
神与棋子。,1623,0,12-14 14:34
有只疯狗说下行，果然灵,1616,0,12-14 14:13
还是熟悉的味道，涨一天跌三天以上,1613,0,12-14 14:12
昨天大批购入蓝筹今天全死进去了哈哈,1626,0,12-14 13:34
发现上证50很喜欢一日游，2650一日游，2600一日游，25,1656,0,12-14 13:34
服不服孙子，爷爷砸盘的,1639,0,12-14 13:25
5日线支撑好稳啊，下周一高开高走，暴涨3个点,1616,0,12-14 13:24
裁判上场了 大家稳住。。,1580,0,12-14 13:18
恶心，想吐。,1559,0,12-14 13:13
下午绝地反击，深V反弹,1592,0,12-14 11:34
50不破位 绝不买票,2426,1,12-14 11:31
就这量能还想杀破五日线,2530,2,12-14 11:15
50勾,1586,0,12-14 10:45
这上证50玩的短平快不输游资啊，昨天诱多，今天暴力出,1558,0,12-14 10:43
50短平快，不输概念股啊，昨天诱多，今天暴力出货,1558,0,12-14 10:40
利好利空都是跌，价值投资在哪里？,1600,0,12-14 10:32
维护股市积极向上，切实保护好投资者利益！唉，责任重,1551,0,12-14 10:21
50这么砸要搞事啊，下午爆拉大阳？,1622,0,12-14 10:11
抓住回调机会果断建仓，下午上证50强势护盘三大股指翻,1575,0,12-14 10:08
为什么股市老对着干呢？是自身有问题还是恶意做空？好,1598,0,12-14 09:59
50不死绝不买票,1595,0,12-14 09:51
上证50在阴跌大家赶快跑。,1568,0,12-14 09:44
全是利好还这样，真有中国股市特色！,1603,0,12-14 09:26
今天央行可能会降准并且降息，否则下周不好发新股,1534,0,12-14 09:05
看亚太地区股票走势，难道昨天上涨又是一日游，三角形,1546,0,12-14 08:55
上证50有何罪?,1766,0,12-14 05:41
明天回调 百分之百,1633,0,12-14 01:03
茅台跌停，股民高兴，股价还高，再来跌停,19248,67,12-13 21:42
"为合""上证50罪恶满盈""",1800,0,12-13 20:44
我买股票了，明天继续买入。,1632,0,12-13 18:47
上证50ETF期权,1629,0,12-13 18:03
50指数再次到达三角形末端，已经没有退路，要决定方向,2911,7,12-13 16:52
转市从今天开始！,1652,0,12-13 15:20
铁工基利好消息拉动今天50大涨，不知道明天有什么利好,2575,1,12-13 14:55
好,1670,0,12-13 14:10
新股不要停啊，停了就不能打新了，一定要多发，最好每,1626,0,12-13 13:37
上证50指数现在大约相当沪指3300点,1649,0,12-13 13:34
铁公基开始了，房地产超级大利好，明年至少4000点，赶,1636,0,12-13 13:31
中国股市最大的问题就是上涨没有持续性而下跌常态化。,1624,0,12-13 12:16
4000点不是梦！春天来了！,1631,0,12-13 12:05
难怪有钱人都跑，没有自由市场！,1654,0,12-13 11:50
上证50，7月到现在没创过新低真是奇了,2698,2,12-13 11:37
这样猛反弹，看来美国加息是加定了,1578,0,12-13 11:34
明知是个坑还是不少人往里跳。,2635,2,12-13 11:09
老大好样的，要的就是你着霸气！,1863,0,12-13 11:08
做中国股民真是难啊？外内夹攻，伤不起？,2563,1,12-13 11:08
感觉今天涨的不稳啊，10点半过了还不到2个点，如果下,1607,0,12-13 10:51
转头了，要暴跌了吗？,1592,0,12-13 10:51
2460半年线压力好大啊，强行冲不明智，下午量能如果跟,1607,0,12-13 10:48
这一上一下的估计可以玩到过年[微笑],1599,0,12-13 10:47
上证50马上到2470压力了。,1625,0,12-13 10:46
又到牛熊分界线了，冲过就是牛市，冲不过就呵呵了,1579,0,12-13 10:38
股指重仓做多,1597,0,12-13 10:37
齐上齐下？是那只疯狗操作？,1567,0,12-13 10:36
50难呀！想拉指数稳住指数！没想资金又不跟！,1587,0,12-13 10:28
又是拉五灵形势一片大好啊,1867,0,12-13 10:02
欧美股市隔夜涨就是a股出货日，跌，就是跟跌日，哈哈,1525,0,12-13 09:43
拉起来,1590,0,12-13 09:42
这就是中国股市的独立行情？？？,1575,0,12-13 09:42
上证50，明天要破位了。,1699,0,12-12 22:29
上证50不被打回原形，熊市的路就很漫长,1673,0,12-12 21:17
今天亚欧股市又大涨，别吹了，脸红[好逊][好逊][好逊],1617,0,12-12 21:16
