茅台涨价的根本原因：供应商甚至社会大众敢于囤积茅台,450,0,08-19 18:55
红绿家数比为12：29，50大盘居然是红盘，如此恶意操纵,708,1,08-19 13:11
妖怪兴风作浪。,411,0,08-19 10:26
上证50真正是垃圾！,802,2,08-18 20:44
他妈的造假英雄！,412,0,08-18 15:51
真不要脸,649,1,08-18 15:01
中国极慢牛就全靠你了[鼓掌],411,0,08-18 14:15
跷跷板,405,0,08-18 14:00
？可以直线拉的，药店碧莲,667,1,08-18 13:49
药店碧莲啊，,348,0,08-18 13:25
为发新股，50完全没有节操,306,0,08-18 13:25
无量反弹！,424,0,08-18 13:15
平安放量上涨！,427,0,08-18 11:30
四大行压盘！,321,0,08-18 11:28
50才是脊梁。,324,0,08-18 11:28
这个利润占全部股票半壁江山的50指数，比创业板成交量,899,2,08-18 11:22
50没人接了 量都没了 今天要不是创业板护盘大跌1％,3960,12,08-18 11:20
都没量了！震荡玩吧！,308,0,08-18 10:56
又是受外部影响，卧槽！外部大涨的时候你怎么不受影响,563,0,08-18 10:47
为了发新股，又开始拉50了,319,0,08-18 09:55
国家队控盘了[胜利]中国特色主义,362,0,08-18 09:54
国家队转移到创业板？你在做梦吧,3041,11,08-17 14:33
永远要记住，当年相信投资48买入中石油，和中国灵车的,1982,5,08-17 14:12
上证50今天会跌超0.5？[胜利],337,0,08-17 14:09
我不知道买创业板的垃圾嘚瑟啥？单纯etf现货收益12点,1661,9,08-17 14:07
中国股市谁主沉浮？,575,1,08-17 13:39
漂亮50瞬间成丑陋50.没有任何价值可言,402,0,08-17 13:38
50假拉不要上当,324,0,08-17 13:13
浪潮系混改启动浪潮软件直线拉高7%;浪潮信息000977保,366,0,08-17 11:23
还有傻子追，为什么今天让次新创业涨，分明就是掩护50,2364,7,08-16 17:32
50etf出现6001频繁挂单撤单啥意思？,854,1,08-16 17:11
骂的人这么多还有行情,387,0,08-16 17:10
国家队继续打压出货！,275,0,08-16 14:39
吓死你们了,309,0,08-16 14:39
小心被国家队割韭菜！,344,0,08-16 14:32
两点半是拉还是砸？,284,0,08-16 14:22
上证50不会好了，今年行情已经结束啦[不屑],349,0,08-16 14:00
现在是垃圾满天飞。,318,0,08-16 13:48
报团，我呸，等着踩踏吧，别把门挤坏了？,3844,27,08-16 13:24
"50 又要免费发套了,被套就是十年！",1116,4,08-16 13:24
短期上攻机会不大，估计会盘整一段时间。,352,0,08-16 12:25
神创继续大涨！,373,0,08-16 11:21
资金不是问题！,332,0,08-16 11:20
TMD,294,0,08-16 11:08
国家队转战神创50沒戏了！,338,0,08-16 11:05
现在有一股巨大资金正在把中国股市引到钭路上去，大盘,401,0,08-16 10:58
请教一下，价值投资怎么理解？以新华保险为例，AH股溢,724,0,08-15 22:23
目标前方开炮。。。,714,0,08-15 21:17
A.给老董答复报社采访的建议：1.年初保芳书记明说下半,396,0,08-15 17:20
50反弹差不多了 明天接着跌,377,0,08-15 14:56
主力唱独角戏,346,0,08-15 13:54
今天要表演过山车吗,376,0,08-15 13:48
买创业板的垃圾被套不叫心里不舒服，呵呵,354,0,08-15 13:22
让50横一段时间最好，上证50从2月22号横盘到5月8号，,392,0,08-15 13:21
又开始耍流氓了,399,0,08-15 11:16
神创开始回抽！,292,0,08-15 11:08
拉不动了,286,0,08-15 11:06
狂拉保险四大行！,288,0,08-15 10:42
30年河东30年河西《坚持下去就是胜利》,217,0,08-15 10:39
仍需修复！,295,0,08-15 10:38
暴跌暴涨！,301,0,08-15 10:38
国家队凶悍！,245,0,08-15 10:36
第二波起,330,0,08-15 10:22
今天一整年都是50的行情,303,0,08-15 10:06
想要我买创业板很难。,798,2,08-15 10:04
大跌后就是大涨，大涨后就是大跌。《把握节拍，快乐赚,390,0,08-14 17:48
气的骂人，满仓的股票不动，半仓的股票小涨，小仓位的,1104,2,08-14 15:48
如果套住，记住十年，千万别当接盘侠,541,1,08-14 14:51
我就不信买创业板的垃圾现在解套了，虽然短期上涨。还,591,0,08-14 14:42
你白痴又拉,697,2,08-14 14:36
许多创业板的智障套了2年了，我都是看过很多,481,0,08-14 14:24
嗯，2300点是高位，创业板的垃圾你数学是体育老师教的,359,0,08-14 13:37
现在聪明了，分开出货,670,1,08-14 11:41
终于不骂了，50涨被骂死。国家响应股民号召啊,315,0,08-14 11:29
瘟了,266,0,08-14 11:09
已下跌130点！,426,0,08-14 10:26
创板大涨封杀下跌空间！,366,0,08-14 10:24
本次调整为了攻击3400点做准备,508,0,08-14 10:23
此版块不崩盘，散民永远没有好日子！,596,1,08-14 10:22
上证50真没人接了 前一阵子机构净忽悠漂亮50 骂创业板,1723,6,08-14 10:19
呵呵比不上创业板中小板了吧,316,0,08-14 10:04
被套住的，十年别想出来！哈哈去地狱吧！,418,1,08-14 09:51
摔死你！你也有今天？哈哈哈,779,2,08-14 09:51
你也有今天？说好的投资理念呢？说好的抱团呢？说好的,801,2,08-14 09:50
共同探讨,728,1,08-13 22:37
50成分券商在搞下跌游戏，中国的权重怎么可以依赖券商,1141,4,08-13 12:20
抱团抱住喽，队形别散，别把门挤坏了，呵呵等着互相踩,434,1,08-12 23:21
遮羞布也不要了？这张刘脸谁愿意看？,843,3,08-12 23:13
国家队非但不护盘还带头砸！！,1320,5,08-12 19:36
上证指数目标3180，50指数就自求多福吧，上帝与我们同,899,2,08-11 21:34
跌停才解气！,306,0,08-11 19:52
股市有风险，炒股需谨慎！近期最好不要进股市，小心鳄,575,0,08-11 19:51
恒生指数两交易跌4%下午等指数反抽卖完个股轻松过周末,670,1,08-11 19:40
人造行情为的是割韭菜，9仠多忆的融资不知有多少爆仓,831,1,08-11 19:34
NND今天还玩跳水[俏皮]不想发新股啦？,691,1,08-11 19:25
天天咒50，骂一年它就涨一年，越不买越涨，服不服，不,1075,3,08-11 17:58
这水跳得水花太大，姿态不优美，0分！[想一下],610,1,08-11 16:25
要防止大庄家，包括证金和汇金等在内赶在乐视网复牌之,1455,4,08-11 16:18
派人半路拦截贾停妖不许他回大陆。,628,1,08-11 16:13
淡定，淡定！！茅台股价将跟其市场投放增量与市价增长,659,2,08-11 15:53
都涨价，我看你们下半年还能靠涨价冲业绩！,589,1,08-11 15:50
八月八一起发，今日推荐涨停个股，科大讯飞和华工科技,1156,5,08-11 15:45
黑色星期五，欧美股市暴跌，也是不断上涨透支业绩，50,589,1,08-11 15:44
和创业板反着走了吧[大笑],952,4,08-11 15:19
我说怎么少发两家新股，感情50挺不住了。就这样还要发,632,2,08-11 15:16
受欧美影响。[微笑][微笑][微笑]欧美跌多少？ 价值投,521,1,08-11 15:07
跌的太少，踩踏的还不过瘾,512,1,08-11 15:03
50尾盘巨量没跌 看来下周能盘两天,412,0,08-11 14:55
涨害人，跌害人。在一天害一天,283,0,08-11 14:48
快啊崩盘吧，股民热烈欢迎！,595,1,08-11 14:35
大盘大跌只有一招，狂拉上证50,270,0,08-11 14:34
国家队钱多任性随意拉，国家队股多任性随意砸！就是任,476,0,08-11 14:33
2:30正式开始拉50，,346,0,08-11 14:28
不救漂亮50了吗？,361,0,08-11 14:27
天天暴跌刘怎么发新？！,312,0,08-11 14:27
坐稳开始拉50了……大盘稳住就OK了,389,0,08-11 14:26
国家队急欲出货！,564,1,08-11 14:25
筹码都在国家队手中！,349,0,08-11 14:24
骗子,340,0,08-11 14:12
典型的骗子,332,0,08-11 14:12
一会创业板跌一下，你就要崩,463,1,08-11 13:57
去[大便]吧！,328,0,08-11 13:48
抱紧了，要完一起完，谁也不能先跑,318,0,08-11 13:23
跌掉130点！国家队夠狠！,297,0,08-11 13:22
长得是你 跌的是你 价投在哪了？,453,0,08-11 13:09
上证50指数下跌日，沪深股市崩盘时。,596,1,08-11 13:05
忽忽悠悠,320,0,08-11 12:41
上证50指数30分钟K线上升阻力线监测显示，指数经过连,4216,5,08-11 12:12
跌的好[鼓掌]上证50没散户愿意接盘的，大家赶紧去抄次,381,0,08-11 11:31
活该跌的好,358,0,08-11 11:29
活该！,254,0,08-11 11:15
50死对中小板和创业板是绝对利好，短期可能导致暴跌，,409,0,08-11 11:13
国家队仍不罢休！,262,0,08-11 11:08
谁敢与国家队对抗死路一条！,499,1,08-11 11:06
下午必然回抽一点，不然太难看,338,0,08-11 11:01
涨跌国家队说了算！,260,0,08-11 10:51
